,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2045-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Tennessee,,,9,93.50694497,20.562298,22.25,15.5,6,2,2,4,3,5,2,3,,,,11,,
Tennessee State,,,174,9.697328774,0.374797,0.5,0,15,,,,,,,,,,,,,
Texas,,,24,85.47412133,15.562296,16.75,12,11,11,7,2,6,3,,10,,6,11,7,,11
Texas A&M,,,29,80.89511242,13.249795,14.75,8.75,10,4,9,7,,,,7,,3,,,,
Texas A&M Corpus Chris,,,175,9.697262342,0.374794,0.5,0,,,,16,16,,,,,,,,,
Texas Christian,,,33,76.44527451,11.312293,13.75,4,9,,9,6,9,,,6,,,,,,
Texas Southern,,,157,13.58950748,0.562292,0.5,0.75,,,,16,16,16,,16,16,,15,16,,
Texas Tech,,,15,89.75465555,18.062291,18.25,17.5,5,3,6,,3,6,3,3,,8,,,,
Troy,,,119,27.12941194,1.43729,1.75,0.5,13,14,,,,,,,15,,,,,
Tulsa,,,148,15.93277938,0.687289,0,2.75,,,,,,,,,,11,,13,,
UAB,,,78,47.44379523,3.749788,5,0,,,12,,12,,,,,,14,,,
UC Davis,,,218,1.846691621,0.062287,0,0.25,,,,,,,,,16,,,,,
UC Irvine,,,190,6.795060661,0.249786,0,1,,,,,,,13,,,,13,,,
UC San Diego,,,109,32.15578293,1.874785,2.5,0,,12,,,,,,,,,,,,
UC Santa Barbara,,,126,23.83439684,1.187284,0.75,2.5,,,,14,,12,,,,,,,,
UCLA,,,19,87.15059899,16.499783,18.5,10.5,7,7,,2,4,11,,11,3,,11,4,6,
UMBC,,,191,6.794963227,0.249782,0.25,0.25,16,,,,,,,16,,,,,,
UNC Asheville,,,162,12.34632892,0.499781,0.5,0.5,,,,15,,,,,,15,,,,16
UNC Greensboro,,,163,12.34630862,0.49978,0,2,,,,,,13,,13,,,,,,
UNC Wilmington,,,120,27.12927453,1.437279,0.75,3.5,,14,,,,,,,12,13,,,,
UNLV,,,244,0.0005176250727,-0.000222,0,0,,,,,,,,,,,,,5,6
Utah,,,124,24.69206241,1.249777,0,5,,,,,,,,,,3,5,,,
Utah State,,,34,75.97797898,11.124776,12.75,6.25,9,10,8,10,,11,8,,,,,,,
Valparaiso,,,245,0.000426280111,-0.000225,0,0,,,,,,,,,,,13,,14,
Vanderbilt,,,53,63.0777186,6.937274,7.25,6,5,10,,,,,,,9,11,,,,5
VCU,,,41,70.48922253,9.124773,8,12.5,11,11,,12,,10,8,,10,10,7,5,5,12
Vermont,,,99,37.03786807,2.374772,2.5,2,,,13,15,13,,13,,13,,,,,16
Villanova,,,28,81.81582849,13.687271,9.75,25.5,8,,,,2,5,6,1,1,2,1,2,9,
Virginia,,,22,86.93230464,16.37477,12.75,27.25,3,,10,4,,4,1,1,5,1,2,1,,10
Virginia Tech,,,62,57.8600533,5.687269,2.75,14.5,,,,,11,10,4,8,9,,,,,
Wagner,,,203,5.232812301,0.187268,0.25,0,,,16,,,,,,,,,,,
Wake Forest,,,149,15.93238242,0.687267,0,2.75,,,,,,,,,11,,,,,
Washington,,,137,18.10819732,0.812266,0,3.25,,,,,,,9,,,,,,,
Washington State,,,92,40.74919854,2.812265,3.75,0,,,7,,,,,,,,,,,
Weber State,,,208,3.586432409,0.124764,0,0.5,,,,,,,,,,15,,16,,
West Virginia,,,49,64.02190043,7.187263,3.25,19,,,,9,,3,,5,4,3,5,,,10
Western Kentucky,,,176,9.696553724,0.374762,0.5,0,,,15,,,,,,,,,,16,16
Western Michigan,,,246,0,-0.000239,0,0,,,,,,,,,,,,14,,
Wichita State,,,83,44.50144463,3.31226,0,13.25,,,,,,11,,4,10,11,7,1,9,5
Winthrop,,,135,19.14034215,0.874759,0,3.5,,,,,,12,,,13,,,,,
Wisconsin,,,17,88.94528483,17.562258,18.5,14.75,5,3,5,,3,9,5,,8,7,1,2,5,4
Wofford,,,123,25.5260589,1.312257,0.5,3.75,,15,,,,,7,,,,12,15,,
Wright State,,,132,20.13870657,0.937256,1,0.75,14,,,,16,,,14,,,,,,
Wyoming,,,110,32.1554652,1.874755,2.5,0,,,,,12,,,,,,12,,,
Xavier,,,39,72.83949825,9.937254,7.75,16.5,,11,,3,,,,1,11,2,6,12,,10
Yale,,,89,41.24421695,2.874753,2.75,3.25,,13,13,,14,,14,,,12,,,,
