,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Louisiana Tech,57,10.33436882,0.312393,0.375,0.125,,0.5,,0.5,0.5,,,,0.5,,,,
Louisville,14,53.83400745,3.124892,2.75,4.25,10,,,1,,10,0.5,5,1,1,3,3,0.5
Loyola Marymount,180,1.173880436,0.031141,0,0.125,,,,,,0.5,,,,,,,
Maine,136,3.408851402,0.09364,0.125,0,,,0.5,,,,,,,,,,
Manhattan,216,0.004976219418,-0.000111,0,0,,,,,,,,,,,,,0.5
Marist,181,1.173769937,0.031138,0,0.125,,,,,,,,0.5,,,,,
Marshall,217,0.004900251502,-0.000113,0,0,,,,,,,,,,,,,
Maryland,51,12.10124187,0.374886,0.375,0.375,,,0.5,0.5,0.5,,,0.5,,1,1,,
McNeese State,108,4.478735754,0.124885,0.125,0.125,,,,,0.5,0.5,,,,,,,
Memphis,218,0.004786299344,-0.000116,0,0,,,,,,,,,,,,,
Mercer,160,2.307531462,0.062383,0,0.25,,,,,,0.5,,,,0.5,,0.5,
Miami,30,26.33425127,0.999882,0.625,2.125,1,,0.5,0.5,0.5,0.5,,,3,5,0.5,0.5,0.5
Miami OH,137,3.408538844,0.093631,0.125,0,0.5,,,,,,,,,,,,
Michigan,27,29.73828163,1.18738,0.25,4,,,,0.5,0.5,15,,0.5,,0.5,,,
Michigan State,219,0.00459637832,-0.000121,0,0,,,,,,,,,,,,,0.5
Middle Tennessee,220,0.004558394001,-0.000122,0,0,,,,,,,,,,,,,
Minnesota,138,3.408399928,0.093627,0,0.375,,,,,,,1,,0.5,,,,
Mississippi State,4,78.39799464,6.874876,7.75,4.25,0.5,0.5,,,30,5,10,1,1,,0.5,15,0.5
Missouri,221,0.004444440817,-0.000125,0,0,,,,,,,,,,,,,0.5
Missouri State,69,8.480502332,0.249874,0.125,0.625,,,,0.5,,,0.5,1,,1,,,0.5
Morehead State,161,2.30717396,0.062373,0,0.25,,,,,,,0.5,,,0.5,,,
Murray State,40,16.95672582,0.562372,0.75,0,3,,,,,,,,,,,,
Navy,182,1.17314377,0.031121,0,0.125,,,,,,,,,0.5,,,,
Nebraska,52,12.10079986,0.37487,0.375,0.375,0.5,0.5,,,0.5,0.5,,0.5,0.5,,0.5,,
Nevada,139,3.408122096,0.093619,0.125,0,,,,,0.5,,,,,,,,
New Mexico,183,1.173033268,0.031118,0,0.125,,,,,,,,,0.5,,,0.5,0.5
New Mexico State,109,4.478127996,0.124867,0.125,0.125,,,,0.5,,,0.5,,,,,,0.5
Niagara,140,3.408017908,0.093616,0.125,0,,0.5,,,,,,,,,,,
Nicholls State,81,6.531824354,0.187365,0.25,0,,0.5,0.5,,,,,,,,,,
NJIT,141,3.40794845,0.093614,0.125,0,,,,,0.5,,,,,,,,
Norfolk State,142,3.40791372,0.093613,0.125,0,,,,,0.5,,,,,,,,
North Carolina,20,39.28472535,1.812362,1.875,1.625,1,5,0.5,1,0.5,1,5,0.5,,,0.5,10,0.5
North Carolina A&T,184,1.172775431,0.031111,0,0.125,,,,,,,0.5,,,,,,
North Carolina State,17,50.2130782,2.74986,3.5,0.5,0.5,3,0.5,,10,0.5,0.5,0.5,0.5,0.5,,5,1
North Dakota State,82,6.531632427,0.187359,0.25,0,0.5,,,,0.5,,,,,,0.5,,
Northeastern,58,10.33335587,0.312358,0.375,0.125,0.5,,0.5,,0.5,,0.5,,,,,,
Northern Illinois,222,0.003760714535,-0.000143,0,0,,,,,,,,,,,,,
Northern Kentucky,143,3.407670614,0.093606,0.125,0,,0.5,,,,,,,,,,,
Northwestern,223,0.003684744188,-0.000145,0,0,,,,,,,,,,,,,
Northwestern State,185,1.172517592,0.031104,0,0.125,,,,,,,0.5,,,,,,
Notre Dame,28,29.19122443,1.156103,1.5,0.125,,,,5,1,,,,,0.5,,,
Ohio,162,2.306423194,0.062352,0,0.25,,,,,,,,0.5,,0.5,,,
Ohio State,144,3.407496966,0.093601,0,0.375,,,,,,0.5,0.5,,0.5,,,,
Oklahoma,13,54.1203243,3.1561,4.125,0.25,0.5,0.5,0.5,15,,,0.5,0.5,,,,1,1
Oklahoma State,29,28.63658526,1.124849,0.5,3,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,10,0.5,1,0.5,
Old Dominion,145,3.407392776,0.093598,0.125,0,,,,,0.5,,,,,,0.5,,
Ole Miss,5,74.26113797,6.062347,7.875,0.625,0.5,,,30,1,1,0.5,,0.5,0.5,10,0.5,0.5
Omaha,186,1.172222916,0.031096,0,0.125,,,,,,0.5,,,,,,,
Oral Roberts,26,30.80781238,1.249845,1.5,0.5,,0.5,5,0.5,,,0.5,0.5,0.5,0.5,,,0.5
Oregon,38,17.70828405,0.593594,0.75,0.125,0.5,1,1,0.5,0.5,,,,,0.5,0.5,0.5,1
