,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Illinois,58,31.93077435,29.687456,11.25,85,24,'31,'75,21,64,89,61,97,96,94,68,68,79,93
Indiana,46,34.23058918,26.499955,23.75,34.75,1,'11,'92,94,100,26,23,70,33,57,74,65,66,80
Iowa,19,50.23247563,12.062454,8.75,22,12,'16,'47,23,27,10,20,23,35,37,42,49,24,62
Iowa State,27,43.16489267,17.062453,13,29.25,33,'28,'37,54,19,11,24,38,44,66,77,97,78,56
Jacksonville State,133,8.769689942,93.499952,68,170,92,'73,'71,,,,,,,,,,,
James Madison,128,13.74172384,73.062451,40.75,170,27,'41,'20,50,,,,,,,,,,
Kansas,94,21.5461929,49.62495,29.75,109.25,59,'50,'25,60,123,121,104,100,114,119,125,102,89,102
Kansas State,29,42.65010026,17.499949,7.5,47.5,42,'18,'15,9,21,70,46,78,29,45,69,25,14,11
Kennesaw State,134,3.910608287,118.999948,102,170,89,'132,,,,,,,,,,,,
Kent State,120,16.39293566,64.062447,49.5,107.75,130,'134,'133,105,93,94,105,124,126,108,105,110,98,66
Kentucky,33,39.62244846,20.312446,12.75,43,67,'45,'22,28,23,51,35,25,61,78,78,51,74,91
Liberty,91,22.50970729,47.312445,30.5,97.75,102,'71,'33,73,49,44,75,121,,,,,,
Louisiana,69,27.23925108,37.437444,28.5,64.25,105,'53,'64,67,47,31,32,95,118,99,95,64,95,64
