,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
South Alabama,,,,,,,,,,0.5,,,0.5,0.5,,,0.5,
South Carolina,,,,,,,0.5,1,,0.5,,1,,1,,0.5,1,15
South Dakota State,,,,,,,,,,,,,,,,,0.5,
South Florida,,,,,,,,,,1,,0.5,0.5,,0.5,,,
Southeast Missouri State,,,,,,,0.5,,0.5,0.5,,,,0.5,,,,
Southeastern Louisiana,,,,,,,,,0.5,,,,0.5,0.5,,0.5,,
Southern,,,,,,,,,,0.5,0.5,,,,,,,
Southern California,,,,,,0.5,,,,,,,,,0.5,,,
Southern Miss,,,,,,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,,,,
St. John's,,,,,,,0.5,,,,,0.5,0.5,,0.5,,,1
Stanford,,,,,,,,3,3,5,1,0.5,0.5,,,1,,1
Stetson,,,,,,0.5,0.5,,,,,1,,0.5,,,,
Stony Brook,,,,,,,,,,,0.5,,,,0.5,,,3
Tennessee,,,,,,1,30,5,1,3,0.5,,,,,,,
Tennessee Tech,,,,,,,,,,,,1,0.5,,,,,
Texas,,,,,,0.5,0.5,1,3,10,,3,0.5,,0.5,10,,
Texas A&M,,,,,,,15,0.5,10,,0.5,0.5,3,1,1,0.5,0.5,0.5
Texas Christian,,,,,,0.5,,10,0.5,0.5,0.5,,10,10,10,5,,1
Texas Southern,,,,,,,,,,,,0.5,0.5,,0.5,,,
Texas State,,,,,,,,,0.5,,,,,,,,,
Texas Tech,,,,,,,,0.5,0.5,1,10,5,0.5,5,,3,,
Toledo,,,,,,,,,,,,,,,,,,
Towson,,,,,,,,,,,,,,,,,0.5,
Troy,,,,,,,,0.5,,,,0.5,,,,,0.5,
Tulane,,,,,,,0.5,0.5,,,,,,0.5,0.5,,,
UAB,,,,,,,,,,,,,,,,,,0.5
UC Irvine,,,,,,0.5,0.5,,,0.5,,,,,,5,,
UC Santa Barbara,,,,,,,0.5,,0.5,0.5,0.5,,,5,0.5,,0.5,
UCLA,,,,,,5,,,0.5,0.5,1,0.5,0.5,,0.5,,30,5
UMBC,,,,,,,,,,,,,0.5,,,,,
UNC Greensboro,,,,,,,,,0.5,,,,0.5,,,,,
UNC Wilmington,,,,,,,0.5,0.5,,,0.5,0.5,,0.5,0.5,,0.5,0.5
UNLV,,,,,,,,,,,,,,,,0.5,,
USC Upstate,,,,,,0.5,,,,,,,,,,,,
UT Arlington,,,,,,,,,,,,,,,,,,0.5
Utah,,,,,,,,,,,,,,0.5,,,,
Utah Valley,,,,,,0.5,,,,,,,,0.5,,,,
UTSA,,,,,,1,,,,,,,,,,,0.5,
Valparaiso,,,,,,,,,,,,,,,,,0.5,0.5
Vanderbilt,,,,,,0.5,0.5,0.5,0.5,15,30,1,1,0.5,15,30,1,0.5
VCU,,,,,,,0.5,,0.5,0.5,,,,,1,,,
Villanova,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,3,3,0.5,5,,,0.5,0.5,30,15,1,0.5
Virginia Tech,,,,,,,,,1,,,,,,,,0.5,
Wake Forest,,,,,,0.5,0.5,10,0.5,,,,1,0.5,,,,
Washington,,,,,,,,0.5,,,,3,,0.5,,0.5,,
Washington State,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,1,1,0.5,,,0.5,,0.5,,,,,
Western Carolina,,,,,,,,,,,,,,0.5,,,,
Western Kentucky,,,,,,0.5,,,,,,,,,,,,
Western Michigan,,,,,,,0.5,,,,,,,0.5,,,,
Wichita State,,,,,,,,,,,,,,,,,0.5,
William & Mary,,,,,,,,,,,,,,0.5,,,0.5,
Wofford,,,,,,,0.5,,,,,,,,,,,
Wright State,,,,,,0.5,,0.5,0.5,0.5,,0.5,,0.5,0.5,,,
Xavier,,,,,,,,0.5,,,,,0.5,0.5,,,,
Yale,,,,,,,,,,,,,0.5,,,0.5,,
Youngstown State,,,,,,,,,,,,,,,,0.5,,
